No.,Peduncle width,AZ width,AZ-P Ratio,Label,
1,1.835,2.190,1.19346049,7.5 to 8,
2,1.893,2.433,1.28526149,7.5 to 8,
3,2.110,2.473,1.172037915,7.5 to 8,
4,2.069,2.596,1.254712421,7.5 to 8,
5,2.186,2.707,1.238334858,7.5 to 8,
6,2.278,2.863,1.256804214,7.5 to 8,
7,2.031,2.558,1.25947809,7.5 to 8,
8,1.977,2.611,1.320687911,7.5 to 8,
9,1.943,2.357,1.213072568,7.5 to 8,
10,1.931,2.444,1.265665458,7.5 to 8,
12,1.862,2.256,1.21160043,Under 7.5,
13,1.86,2.284,1.227956989,Under 7.5,
14,2.012,2.407,1.196322068,Under 7.5,
15,1.805,2.318,1.284210526,Under 7.5,
16,1.78,2.096,1.17752809,Under 7.5,
17,1.937,2.212,1.141972122,Under 7.5,
18,1.96,2.647,1.350510204,Under 7.5,
19,1.679,2.323,1.383561644,Under 7.5,
20,1.756,2.278,1.297266515,Under 7.5,
21,1.843,2.775,1.505697233,Over 8,
22,2.495,3.473,1.391983968,Over 8,
23,2.424,3.119,1.286716172,Over 8,
24,2.477,2.875,1.16067824,Over 8,
25,2.001,2.663,1.330834583,Over 8,
26,1.9,2.462,1.295789474,Over 8,
27,2.13,2.874,1.349295775,Over 8,
28,2.52,3.42,1.357142857,Over 8,
31,2.055,2.397,1.166423358,7.5 to 8,TEST
32,1.941,2.489,1.282328697,7.5 to 8,TEST
33,2.141,2.942,1.374124241,7.5 to 8,TEST
34,2.165,2.769,1.278983834,7.5 to 8,TEST
35,2.126,2.613,1.229068674,7.5 to 8,TEST
36,1.616,1.95,1.206683168,Under 7.5,TEST
37,1.55,2.07,1.335483871,Under 7.5,TEST
38,1.403,1.804,1.285816108,Under 7.5,TEST
39,1.463,2.066,1.412166781,Under 7.5,TEST
40,1.787,2.269,1.269725797,Under 7.5,TEST